galleryId	productId	photo	photoCoordinate	sequence	statu	guid	optionList
3	1	20140322255bacarphoto.png	0,27,500,377,500,350	1	1	c5cccafd-a175-44f4-9bf8-638166d30f85	NULL
4	2	2014040442f1daudia3camcitasi(1).jpg	0,0,2048,1433.6,2048,1433.6	2	1	529e7f04-6e45-40d9-a640-d8097dc11b17	NULL
5	3	20140404630ffaudiq7camcercevesivekapidirek(3).jpg	0,0,2048,1433.6,2048,1433.6	3	1	ee5625f3-fa40-429c-8e60-d1c7c59a77f2	NULL
6	4	2014040456128bmwx1camcercevesivekapidirek.jpg	0,102,2048,1535.6,2048,1433.6	4	1	7cd770e4-a42e-4e14-9505-a594d2cfcff9	NULL
8	5	201404048313bbmwx1camcitasi.jpg	1470,0,3537.1428571428573,1447,2067.1428571428573,1447	5	1	e46d33cb-cbb3-46b8-ba07-339a0ef043bd	NULL
14	6	20140405c8591bmwx1camcercevesi(1).jpg	263,157,1833,1256,1570,1099	6	1	58f53b45-fb07-4b97-b92b-7b05373cc461	NULL
16	7	2014040600f09bmwx5camcitasivekapidirek.jpg	0,19,676,492.2,676,473.2	7	1	423b6365-6440-44d3-9667-249791c593d3	NULL
17	8	2014040687a21bmwx5camcitasivekapidirek.jpg	0,19,674.2857142857143,491,674.2857142857143,472	8	1	f7389ddf-9eeb-4e7a-adf5-0d177eda41ac	NULL
18	9	20140406fd5b8bmwx5camcercevesi(2).jpg	1191,293,3983.857142857143,2248,2792.857142857143,1955	9	1	ff72d284-96b8-43b2-bd79-16908c52874e	NULL
20	10	20140406f5796bmwx6(2011)camcercevesivekapidirek.jpg	0,197,1912.857142857143,1536,1912.857142857143,1339	10	1	4eb13b71-3560-4c26-90eb-50791017ec49	NULL
21	11	20140407af9bdcherytiggocamcitasivekapidirek(2).jpg	0,102,2048,1535.6,2048,1433.6	11	1	b2a68821-c152-476b-a5e6-29e90ed773fe	NULL
22	12	201404071e0cachevroletcaptivabagajalticitasi.jpg	161,175,2038.142857142857,1489,1877.142857142857,1314	12	1	08af3cbb-e793-461a-92a0-5af0891b4057	NULL
23	13	201404075f2abchevroletcaptivacamcercevesivekapidirek.jpg	16,116,2044.5714285714287,1536,2028.5714285714287,1420	13	1	6c30ca08-1b10-4f14-80ba-22a386c420aa	NULL
24	14	201404078cd93chevroletcaptivacamcercevesi(1).jpg	218,234,1974,1463.2,1756,1229.2	14	1	06a4079c-9c46-418f-9013-c94b983cf117	NULL
26	15	20140407e8bf7chevroletcruzecamcercevesiveyankapicitasi(1).jpg	711,0,3515.285714285714,1963,2804.285714285714,1963	15	1	e85b8dd1-745b-49cf-9ebb-3c7a332c4aa2	NULL
27	16	20140407cd5bachevroletcruzecamcercevesivekapidirek(2)a.jpg	168,59,1352.2857142857142,887.9999999999999,1184.2857142857142,828.9999999999999	16	1	beb0b1f4-8d96-4708-bcbb-139bee694676	NULL
28	17	20140407b3c7echevroletcruzecamcitasi(1).jpg	202,98,1059.142857142857,698,857.1428571428571,600	17	1	47c49ec6-4f74-4fb2-a33c-bc3ae4d97450	NULL
29	18	2014040701ee4chevroletcruzecamcercevesi(3).jpg	136,230,1947.4285714285716,1498,1811.4285714285716,1268	18	1	9658451b-77c9-4b58-af36-a9cd8922d5af	NULL
30	19	20140407c8e0fchevroletepica2011camcercevesivekapidireka.jpg	39,173,1986.142857142857,1536,1947.142857142857,1363	19	1	c1071b55-e3fc-4ce0-a828-320ef71db1d9	NULL
31	20	20140410ec470chevroletepica2011camcercevesi.jpg	108,178,2048,1536,1940,1358	20	1	46690451-97a2-44dc-9ab2-e2c32ac62ab5	NULL
32	21	20140410296e5chevroletepicabagajalticitasi.jpg	114,110,1967,1407.1,1853,1297.1	21	1	3e1ace44-2517-4eec-9c85-10bd4bc3004e	NULL
33	22	20140410ca1d3chrysler300ckapidirek.jpg	242,441,1798,1530.2,1556,1089.2	22	1	6bbcdd3b-0404-4a08-9b96-ca17e01310c5	NULL
34	23	20140410c973acitroenc5camcercevesi(1).jpg	79,158,2047.5714285714287,1536,1968.5714285714287,1378	23	1	97d1bf05-ca64-4c4a-b7de-4befb6db5ed1	NULL
35	24	20140410d2dabcitroenelyseecamcitasi.jpg	199,-20,699,330,500,350	24	1	a2af0b80-1c05-4192-a4a7-e0b20822ba90	NULL
36	25	201404100fe1ddaciasanderocamcitasivekapidirek.jpg	0,102,1903,1434.1,1903,1332.1	25	1	60144fdf-a300-4c9f-8369-eeeda519b714	NULL
37	26	20140410cdbb8daciasanderocamcitasivekapidirek.jpg	0,101,1904.2857142857142,1434,1904.2857142857142,1333	26	1	738a2500-8de3-4a40-af76-c39dca424594	NULL
