stockId	stockCount	productId	minCount	sequence	optionList
1	10	1	5	1	NULL
2	7	1	0	2	NULL
3	10	2	5	3	NULL
4	10	3	5	4	NULL
5	10	4	5	5	NULL
6	10	5	5	6	NULL
7	10	6	5	7	NULL
8	10	7	5	8	NULL
9	10	8	5	9	NULL
10	10	9	5	10	NULL
11	10	10	5	11	NULL
12	10	11	5	12	NULL
13	10	12	5	13	NULL
14	10	13	5	14	NULL
15	10	14	5	15	NULL
16	10	15	5	16	NULL
17	10	16	5	17	NULL
18	10	17	5	18	NULL
19	10	18	5	19	NULL
20	10	19	5	20	NULL
21	10	20	5	21	NULL
22	10	21	5	22	NULL
23	10	22	5	23	NULL
24	10	23	5	24	NULL
25	10	24	5	25	NULL
26	10	25	5	26	NULL
27	10	26	5	27	NULL
28	10	27	5	28	NULL
29	10	28	5	29	NULL
30	10	29	5	30	NULL
31	10	30	5	31	NULL
32	10	31	5	32	NULL
33	10	32	5	33	NULL
34	10	33	5	34	NULL
35	10	34	5	35	NULL
36	10	35	5	36	NULL
37	10	36	5	37	NULL
38	10	37	5	38	NULL
39	10	38	5	39	NULL
40	10	39	5	40	NULL
46	2	41	0	41	NULL
49	1	41	0	42	NULL
50	10	42	5	43	NULL
51	10	43	5	44	NULL
52	10	44	5	45	NULL
53	10	45	5	46	NULL
54	10	46	5	47	NULL
55	10	47	5	48	NULL
56	10	48	5	49	NULL
57	10	49	5	50	NULL
58	5	50	1	51	NULL
59	10	51	5	52	NULL
60	10	52	5	53	NULL
61	10	53	5	54	NULL
62	10	54	5	55	NULL
63	10	55	5	56	NULL
64	10	56	5	57	NULL
65	10	57	5	58	NULL
66	10	58	5	59	NULL
67	10	59	5	60	NULL
68	10	60	5	61	NULL
69	10	61	5	62	NULL
70	10	62	5	63	NULL
71	10	63	5	64	NULL
72	10	64	5	65	NULL
73	10	65	5	66	NULL
74	10	66	5	67	NULL
75	10	67	5	68	NULL
76	10	68	5	69	NULL
77	10	69	5	70	NULL
78	10	70	5	71	NULL
79	10	71	5	72	NULL
80	10	72	5	73	NULL
81	10	73	5	74	NULL
82	10	74	5	75	NULL
83	10	75	5	76	NULL
84	10	76	5	77	NULL
85	10	77	5	78	NULL
86	10	78	5	79	NULL
87	10	79	5	80	NULL
88	10	80	5	81	NULL
89	10	81	5	82	NULL
90	10	82	5	83	NULL
91	10	83	5	84	NULL
92	10	84	5	85	NULL
93	10	85	5	86	NULL
94	10	86	5	87	NULL
95	10	87	5	88	NULL
96	10	88	5	89	NULL
